filename,SPAM_Code,Monf_Name,FAO_Name,FAO_Code,source,SPAM_Name,GROUP,Total_ha,Total_p,nonFiltered_ha,nonFiltered_p,nf_prop_ha,nf_prop_p
abaca,"",abaca,Manila Fibre (Abaca),809,Monf,"",Fiber,128286.188789182,117520,111516.04733,20680,0.869275550100404,0.175970047651464
acof,acof,"",coffee,656,SPAM,arabica coffee,stimulant,5917829.7009457,65733,5917829.7009457,65733,1,1
agave,"",agave,Agave Fibres Nes,800,Monf,"",Fiber,51691.1782740713,178278,22279.8375093816,6172,0.431018178600068,0.0346200877281549
almond,"",almond,"Almonds, with shell",221,Monf,"",Treenuts,1462552.25379211,250845,501974.065780659,48238,0.343217867586706,0.192302019175188
aniseetc,"",aniseetc,"Anise, badian, fennel, corian",711,Monf,"",OtherCrops,559390.674457671,345024,121964.702728235,109692,0.218031347852697,0.31792570951586
apple,"",apple,Apples,515,Monf,"",Fruit,5279000.27616995,483935,4297523.79808322,325446,0.814079100825731,0.672499405911951
apricot,"",apricot,Apricots,526,Monf,"",Fruit,377276.058792839,461680,211330.194189329,174267,0.560147375546481,0.377462744758274
areca,"",areca,Arecanuts,226,Monf,"",OtherCrops,562647.191714676,339011,357054.86092901,44039,0.634598139272463,0.129904339387218
artichoke,"",artichoke,Artichokes,366,Monf,"",Vegetables&Melons,113545.953762918,227149,25374.0620961078,72809,0.223469540350934,0.320534098763367
asparagus,"",asparagus,Asparagus,367,Monf,"",Vegetables&Melons,1002756.72868639,305817,938537.853235447,155153,0.935957671872149,0.507339356543292
avocado,"",avocado,Avocados,572,Monf,"",Fruit,342398.795276834,320326,237270.521088063,148830,0.692965408643528,0.464620417949214
bambara,"",bambara,Bambara beans,203,Monf,"",Pulses,65883.8962509156,370085,39660.4202858768,11086,0.601974420802802,0.0299552805436589
bana,bana,"",banana,486,SPAM,banana,fruits,5162790.59985687,184760,5162790.59985687,184760,1,1
barl,barl,"",barley,44,SPAM,barley,cereals,49238338.5000851,334577,49238338.5000851,334577,1,1
bean,bean,"","beans, dry",176,SPAM,bean,pulses,27350592.6031092,437728,27350592.6031092,437728,1,1
berrynes,"",berrynes,Berries Nes,558,Monf,"",Fruit,62740.1097289978,378460,31956.4218166741,85393,0.509345966315774,0.225632827775723
blueberry,"",blueberry,Blueberries,552,Monf,"",Fruit,44418.9344358596,280940,27776.7720685275,28424,0.625336299064915,0.101174628034456
brazil,"",brazil,"Brazil nuts, with shell",216,Monf,"",Treenuts,1217.42319514915,505915,0.0786844380199909,2,6.4631952416802e-05,3.95323325064487e-06
broadbean,"",broadbean,"Broad beans, horse beans, dry",181,Monf,"",Pulses,2411193.65761191,382178,1808823.35672039,215379,0.750177552520557,0.563556771975362
buckwheat,"",buckwheat,Buckwheat,89,Monf,"",Cereals,2593870.72160879,430489,2445863.2584421,205346,0.94293953745124,0.477006381115429
cabbage,"",cabbage,Cabbages and other brassicas,358,Monf,"",Vegetables&Melons,2656639.47226893,663961,2116240.45034047,343854,0.796585487955985,0.517882827455227
canaryseed,"",canaryseed,Canary seed,101,Monf,"",Cereals,247249.314722934,75435,238758.932052809,38680,0.965660642256422,0.512759329223835
carob,"",carob,Carobs,461,Monf,"",Fruit,115625.69377254,175182,29991.1188971894,23180,0.259381093584512,0.132319530545376
carrot,"",carrot,Carrots and turnips,426,Monf,"",Vegetables&Melons,910900.11604292,578118,734153.499640863,339416,0.805964876621304,0.587105054677419
cashew,"",cashew,"Cashew nuts, with shell",217,Monf,"",Treenuts,2705022.31585666,304588,2036002.18158151,102483,0.752674818853287,0.336464338713278
cashewapple,"",cashewapple,Cashewapple,591,Monf,"",Fruit,617440.614951726,213402,1260.78896754794,255,0.0020419598857236,0.00119492788258779
cass,cass,"",cassava,125,SPAM,cassava,roots&tubers or starchy roots,19027202.3940924,210551,19027202.3940924,210551,1,1
castor,"",castor,Castor oil seed,265,Monf,"",Oilcrops,1238511.43438688,394422,885936.397062149,174941,0.715323550888915,0.443537632282175
cauliflower,"",cauliflower,Cauliflowers and broccoli,393,Monf,"",Vegetables&Melons,754423.294765889,538316,367754.408362085,213126,0.487464280217124,0.395912438047541
cerealnes,"",cerealnes,"cerealnes, nes Cereals",108,Monf,"",Cereals,1987047.66579324,322430,1810094.35932052,207269,0.910946622207936,0.642834103526347
cherry,"",cherry,Cherries,531,Monf,"",Fruit,342033.39962651,455144,207721.78571245,185901,0.60731433228239,0.408444360466138
chestnut,"",chestnut,Chestnuts,220,Monf,"",Treenuts,311846.265502053,333950,118784.522008629,88538,0.380907309623839,0.265123521485252
chic,chic,"",chickpea,191,SPAM,chickpea,pulses,11515252.6963957,159285,11515252.6963957,159285,1,1
chicory,"",chicory,Chicory roots,459,Monf,"",OtherCrops,17895.2832505117,198985,9730.62195345387,15406,0.543753447052907,0.0774229213257281
chilleetc,"",chilleetc,"Chillies and peppers, green",401,Monf,"",Vegetables&Melons,1415979.14866021,500816,1255829.86505371,287264,0.886898557963911,0.573591898022427
cinnamon,"",cinnamon,Cinnamon (canella),693,Monf,"",OtherCrops,148894.046430357,195737,88966.8606570205,25716,0.597517918210608,0.131380372642883
citrusnes,"",citrusnes,"Citrus fruit, nes",512,Monf,"",Fruit,822545.357821805,447297,706259.47387867,73949,0.858626782295539,0.165324158221495
clove,"",clove,Cloves,698,Monf,"",OtherCrops,437402.94427753,189997,351727.635586246,33639,0.80412727026153,0.177050163949957
cnut,cnut,"",coconut,249,SPAM,coconut,oilcrops,11605312.8992241,89730,11605312.8992241,89730,1,1
coco,coco,"",cocoa,661,SPAM,cocoa,stimulant,9767624.40228736,64365,9767624.40228736,64365,1,1
coir,"",coir,Coir,813,Monf,"",Fiber,1.89775615688416e-16,119144,0,0,0,0
cott,cott,"",seed cotton,328,SPAM,cotton,fibres,31047735.6992616,171163,31047735.6992616,171163,1,1
cowp,cowp,"",cowpea,195,SPAM,cowpea,pulses,8885458.99731545,80300,8885458.99731545,80300,1,1
cranberry,"",cranberry,Cranberries,554,Monf,"",Fruit,29153.216728088,249374,13899.9596207691,21763,0.476789911398596,0.0872705253955906
cucumberetc,"",cucumberetc,Cucumbers and gherkins,397,Monf,"",Vegetables&Melons,1922755.94337709,586854,1673507.05302341,363226,0.870368940368011,0.61893758924707
currant,"",currant,Currants,550,Monf,"",Fruit,129370.121868652,258066,118945.917865598,99429,0.919423404318672,0.385285159610332
date,"",date,Dates,577,Monf,"",Fruit,811053.319686737,176208,439414.165981204,85112,0.541782094117961,0.483020067193317
eggplant,"",eggplant,Eggplants (aubergines),399,Monf,"",Vegetables&Melons,1419045.94228933,376568,1159530.03195348,220790,0.817119444408421,0.586321726753203
