FAO_Name,FAO_Code,source,SPAM_Name,SPAM_Code,Monf_Name,GROUP,NAME,SCIENTNAME,FAMNAME,GMIN,GMAX,KTMP,TMIN,TOPMN,TOPMX,TMAX,RMIN,ROPMN,ROPMX,RMAX,LIG,LIGR,PP,PPMIN,PPMAX,TEXT,TEXTR,DEP,DEPR,DRA,DRAR,PHMIN,PHOPMN,PHOPMX,PHMAX,SAL,SALR,FER,FERR,LIMITS,RID,SID,FAO_Code2,FAO_Code3,crop,food,fiber,fodder,forestry,industry,plant,comms
wheat,15,SPAM,wheat,whea,,cereals,Spelt,Triticum spelta L.,Gramineae,120,180,0,4,10,17,24,300,700,1000,1600,1 2,1 3,L,14,14,L,L M,m,s,W,W E,5,6.5,7.5,8.3,l,l,m,m,"",118,118,0,0,1,1,0,0,0,0,1,""
wheat,15,SPAM,wheat,whea,,cereals,"Wheat, common",Triticum aestivum L.,Gramineae,90,250,0,5,15,23,27,300,750,900,1600,1,1 3,L,12,14,M O,M H,M,S,W,W,5.5,6,7,8.5,L,M,H,M,U,219,219,0,0,1,1,0,0,0,0,1,""
wheat,15,SPAM,wheat,whea,,cereals,"Wheat, club",Triticum compactum Host,Gramineae,120,180,-3,4,10,16,20,300,600,900,1600,1 2,1 3,N,0,0,l m,w,M,S,w,w,5.5,6.5,7.5,8.3,l,l,M,L,"",453,219,0,0,1,1,0,0,0,0,1,subspecies of T. aestivum
wheat,15,SPAM,wheat,whea,,cereals,"Wheat, durum",Triticum durum Desf.,Gramineae,120,180,0,6,17,25,30,400,500,700,800,1,1 2,N,0,0,M H,M H,M,M,W,W E,5.5,6,7,8.5,l,l,H,M,"",1620,1620,0,0,1,1,0,0,0,0,1,""
rice,27,SPAM,rice,rice,,cereals,Rice paddy (Japonica),Oryza sativa L. s. japonica,Gramineae,80,180,0,10,20,30,36,1000,1500,2000,4000,1,1 3,N,0,0,W,W,M,S,I,I,4.5,5.5,7,9,L,L,H,M,"",538,538,0,0,1,1,0,0,0,0,1,""
rice,27,SPAM,rice,rice,,cereals,Rice upland (Japonica),Oryza sativa L. s. japonica,Gramineae,80,130,0,10,20,30,36,750,1000,1700,3500,1,1 3,N,0,0,H,M H,M,S,W,I W,4.5,5.5,7,9,L,M,H,M,"",539,538,0,0,1,1,0,0,0,0,1,""
rice,27,SPAM,rice,rice,,cereals,Bulu rice (Javanica),Oryza sativa s. javanica,Gramineae,120,240,0,16,23,35,38,800,1500,2000,4000,1,1 3,N,0,0,H,W,M,S,I,I W,4.5,5.5,7,9,L,L,M,M,"",540,538,0,0,1,1,0,0,0,0,1,""
rice,27,SPAM,rice,rice,,cereals,"Rice, paddy (Indica)",Oryza sativa L. s. indica,Gramineae,80,200,0,16,25,35,38,1000,1500,2000,4000,1,1 3,S,12,12,W,W,M,S,I,I,3.5,5,8,9,L,L,M,L,"",766,538,0,0,1,1,0,0,0,0,1,""
rice,27,SPAM,rice,rice,,cereals,African rice,Oryza glaberrima Steud.,Gramineae,120,270,0,16,26,32,38,700,1000,1500,2700,1 2,1 3,S,12,12,M,W,M,S,I W,I W,4.3,5.5,7,9,l,l,M,L,"",1070,1070,0,0,1,1,0,0,0,0,1,""
rice,27,SPAM,rice,rice,,cereals,Rice upland (Indica),Oryza sativa L. s. indica,Gramineae,80,150,0,16,25,35,38,750,1000,1700,3500,1,1 3,S,12,12,H,M H,M,S,W,I W,3.5,5.5,7,9,L,M,M,L,"",1337,538,0,0,1,1,0,0,0,0,1,""
barley,44,SPAM,barley,barl,,cereals,Barley,Hordeum vulgare L.,Gramineae,90,240,-4,2,15,20,40,200,500,1000,2000,1,1 3,L,12,14,M,W,D,M,W,W,6,6.5,7.5,8,L,H,M,L,"",223,223,0,0,1,1,0,0,0,0,1,""
maize,56,SPAM,maize,maiz,,cereals,Maize,Zea mays L. s. mays,Gramineae,65,365,0,10,18,33,47,400,600,1200,1800,1,1 2,S,12,14,M O,W,M,S,W,W E,4.5,5,7,8.5,L,M,H,L,W U E,1636,1636,636,0,1,1,0,1,0,0,1,""
maize,56,SPAM,maize,maiz,,cereals,Dent maize,Zea mays v. indentata Sturt,Gramineae,100,140,0,12,20,27,45,500,600,1200,1800,1,1 2,S,12,14,M O,W,M,M,W,W,5,5.5,7,8,L,L,H,L,U E,1701,1636,0,0,1,1,0,1,0,0,1,""
maize,56,SPAM,maize,maiz,,cereals,Flint maize,Zea mays v. indurata Sturt,Germineae,90,140,0,10,18,30,47,450,600,1200,1800,1,1 2,S,12,14,M O,W,M,S,W,W E,4.5,5,7,8.5,L,L,H,L,U E,1702,1636,0,0,1,1,0,1,0,0,1,""
