RID,NAME,SCIENTNAME
771,"Okra, lady fingers",Abelmoschus esculentus (L.)
54,Sunset hibiscus,Abelmoschus manihot (L.) M.
509,West Himalayan fir,Abies pindrow Spach.
1473,Perennial Indian hemp,Abroma augustum (L.) L.f.
5,China Jute,Abutilon theopharasti Medic
684,Acacia acradenia,Acacia acradenia F. Muell.
597,Rasberry jam,Acacia acuminata Benth.
819,Winter thorn,Acacia albida Del.
685,Acacia ammobia,Acacia ammobia Macconochie
567,Salt wattle,Acacia ampliceps B.R.Maslin
686,Fitzroy wattle,Acacia ancistrocarpa Maid.
598,Mulga,Acacia aneura F. Muell.
677,Acacia anticeps,Acacia anticeps Tind
687,Black gidyea,Acacia argyrodendron Domin.
603,Brown salwood,Acacia aulacocarpa Cunn.
820,Tan wattle,Acacia auriculiformis A.Cu.
1421,Corkwood wattle,Acacia bidwillii Benth.
1708,Umbrella mulga,Acacia brachystachya Benth.
1422,Acacia brassii,Acacia brassii Pedley
688,Burrows wattle,Acacia burrowii Maiden
689,Grey myall,Acacia calcicola Forde&Isi.
1709,Gidgee,Acacia cambagei R.T. Baker
1210,Cutch tree,Acacia catechu (L.f.) Will
1423,Acacia cincinnata,Acacia cincinnata F. Muell.
680,Wirewood,Acacia coriacea DC.
1424,Halls Creek wattle,Acacia cowleana Tate
1425,Northern wattle,Acacia crassicarpa A.Cunn.
821,Rooikrans,Acacia cyclops A. Cunn.
604,Silver wattle,Acacia dealbata Link
296,Green wattle,Acacia decurrens Willd.
681,Acacia dictyophleba,Acacia dictyophleba F.Muell
1426,Acacia difficilis,Acacia difficilis Maiden
691,Broad-leaved hickory,Acacia falciformis DC.
807,Huisache,Acacia farnesiana (L) Willd
1427,Rose wattle,Acacia fasciculifera F.Mue.
1428,Red wattle,Acacia flavescens A.Cunn.
1365,Acacia glaucocaesia,Acacia glaucocaesia Domin
692,Acacia glaucocarpa,Acacia glaucocarpa Maiden
605,Brigalow,Acacia harpophylla F.Muell.
935,Wah-roon,Acacia holosericea A. Cunn
693,Green wattle,Acacia irrorata Sieb. ex S.
569,Acacia jennerae,Acacia jennerae Maiden
570,Acacia jensenii,Acacia jensenii Maiden
1429,Acacia julifera (gil),Acacia julifera Benth.(gil)
694,Acacia julifera (jul),Acacia julifera Benth.(jul)
1363,Acacia laeta,Acacia laeta R.Br.ex Benth.
695,Latzs wattle,Acacia latzii Maslin.
1430,Acacia leptocarpa,Acacia leptocarpa A. Cunn.
1523,Pilang,Acacia leucophloea (Roxb.)
696,Sandhill wattle,Acacia ligulata A. Cunn.
697,Irrara,Acacia macdonnelliensis Ma.
682,Acacia maconochieana,Acacia maconochieana Pedley
698,Maidens wattle,Acacia maidenii F. Muell.
822,Mangium,Acacia mangium Willd.
31,Black wattle,Acacia mearnsii De Wild.
297,Australian blackwood,Acacia melanoxylon R. Br.
1362,Acacia millifera,Acacia millifera (Vahl)Bent
1431,Turpentine,Acacia monticola J.M. Black
571,Sandplain wattle,Acacia murrayana F. Muell
699,Oleander wattle,Acacia neriifolia Cunn.
795,Babul,Acacia nilotica (L.) Willd.
1432,Suli,Acacia oraria F. Muell.
674,Acacia pachyacra,Acacia pachyacra Maiden & B
678,Acacia parchcarpa,Acacia parchcarpa F. Muell.
823,Myall,Acacia pendula A. Cunn.
1433,Black wattle,Acacia plectocarpa A. Cunn.
700,Queensl. silver wattle,Acacia podalyriifolia A. C.
1434,Acacia polystachya,Acacia polystachya A. Cunn.
679,Black gidgee,Acacia pruinocarpa Tindale
336,Golden wattle,Acacia pycnantha Benth.
1435,Tooroo,Acacia rothii Bailey
824,Cooba,Acacia salicina Lindl.
295,Orange wattle,Acacia saligna (Labill) H.
825,Gum arabic tree,Acacia senegal (L.) Willd.
850,Shittim wood,Acacia seyal Del.
1436,Lancewood,Acacia shirleyi Maiden
210,Bodalla wattle,Acacia silvestris Tindale
1437,Heathlands wattle,Acacia simsii A. Cunn ex B.
683,River cooba,Acacia stenophylla A. Cunn.
676,Acacia synchronicia,Acacia synchronicia Maslin
1438,Boree,Acacia tephrina Pedley
298,Umbrella thorn,Acacia tortilis (Forsk) Ha.
1439,Torulosa wattle,Acacia torulosa Benth.
1440,Minni Ritchi,Acacia trachycarpa E. Prit.
1441,Pindan wattle,Acacia tumida F. Muell ex B
675,Prickly wattle,Acacia victoriae Benth.
702,Snakewood,Acacia xiphohylla E. Pritz.
1271,Acanthus,Acanthus ilicifolius L.
1477,Pita fibre,Acehmea magdalenae Andre
1203,Kainsal,Acer caesium Wall.
157,Sugar maple,Acer saccharum
197,Achnatherum splendens,Achnatherum splendens (Tr.)
608,Lilly pilly,Acmena smithii (Poiret) Me.
516,Sweet flag,Acorus calamus L.
299,Shingle tree,Acrocarpus fraxinifolius W.
277,Nile grass,Acroceras macrum Stapf
369,Kiwifruit,Actinidia chinensis Planch.
1135,Baobab,Adansonia digitata F.Muell
1361,Bottle tree,Adansonia gregorii F.Muell.
1224,Malabar nut,Adhatoda vasica (L.) Ness.
1239,Haldu,Adina cordifolia Hook. f.
1278,Kulsi,Aegiceras corniculatum Bla.
1146,Bael,Aegle marmelos Cottea
1270,American joint vetch,Aeschynomene americana L.
519,Joint vetch,Aeschynomene falcata (P.)DC
979,Budda pea,Aeschynomene indica L.
936,Indian horse chestnut,Aesculus indica Griff.
1025,Korarima,Aframomum corrorima (Braun)
870,Melegueta-pepper,Aframomum melegueta (Ros.)
1408,Afzelia africana,Afzelia africana Smith
1488,"Mushroom, cultivated",Agaricus bisporus
673,Kauri,Agathis australis (D. Don)
37,Damar,Agathis dammara (A.B. Lamb)
1502,New Guinea kauri,Agathis labillardieri Warb.
1409,Kauri pine,Agathis macrophylla (Lindl)
1379,Kauri pine,Agathis microstachya Bailey
1380,Kauri pine,Agathis robusta (Moore) Ba.
1474,Cantala fibre,Agave cantala Roxb.
1054,Henequen,Agave fourcroydes Lemaire
1055,Istle,Agave lecheguilla Torrey
777,Sisal,Agave sisalana Perrine
98,Crested wheatgrass Fw.,Agropyron cristatum (L.) G.
69,Thickspine wheatgrass,Agropyron dasystachyum
63,Crested wheatgrass,Agropyron desertorum (Fis.)
91,Tall wheatgrass,Agropyron elongatum (Host)
64,Grenar wheatgrass,Agropyron intermedium Host
196,Agropyron mongolicum,Agropyron mongolicum Keng
74,Quarkgrass,Agropyron repens (L.)Beauv.
70,Streambank wheatgrass,Agropyron riparium Scribn.
100,Siberian wheatgrass,Agropyron sibiricum (Will.)
65,Western wheatgrass,Agropyron smithii Rydb.
71,Bluebunch wheatgrass,Agropyron spicatum (Pursh)
101,Tauri wheatgrass,Agropyron tauri Boiss.&Bal.
156,Slender wheatgrass,Agropyron trachycaulum Link
99,Stiff Hair wheatgrass,Agropyron trichophorum Lin.
88,Velvet bentgrass,Agrostis canina L.
16,Common bentgrass,Agrostis gigantea Roth.
72,Creeping bentgrass,Agrostis stolonifera L.
89,Colonial bentgrass,Agrostis tenuis Sibth.
198,Agrostis trinii,Agrostis trinii Turcz.
174,Ailanthus,Ailanthus altissima (Mill.)
1147,Maharukh,Ailanthus excelsa Roxb.
1149,Gokul,Ailanthus grandis Prain
1413,Karai,Albizia chinensis (Osb.) M.
787,Batai,Albizia falcataria (L.) Fo.
826,East Indian walnut,Albizia lebbeck (L.) Benth.
703,Crested wattle,Albizia lophantha (Willd.)
1214,Burmese siris,Albizia lucida Benth.
1213,Black siris,Albizia odoratissima Benth
1212,White siris,Albizia procera (Roxb.)Ben.
1516,Albizia pullenii,Albizia pullenii Verdc.
1211,Chakua,Albizia stipulata Boivin.
1442,Red siris,Albizia toona Bailey
1091,Tung-oil-tree,Aleurites fordii Hemsl.
1092,Candlenut,Aleurites moluccana (L.) W.
1048,Mu-oil-tree,Aleurites montana (Lour.)
49,Leek,Allium ampeloprasum L.v p.
1608,Shallot,Allium cepa L. v aggregatum
1550,Onion,Allium cepa L. v cepa
212,Rakkyo,Allium chinense G. Don
1609,Welsh onion,Allium fistulosum L.
36,Garlic,Allium sativum L.
50,Chives,Allium schoenoprasum L.
51,Chinese chives,Allium tuberosum Rottler
827,Alder,Alnus acuminata O. Kuntze
578,Japanese alder,Alnus japonica (Thunb.) St.
828,Nepalese alder,Alnus nepalensis D. Don
38,Red alder,Alnus rubra Bong.
888,Giant taro,Alocasia macrorrhiza (L) S
763,"Aloe, Barbados",Aloe barbadensis Miller
1305,Cape aloe,Aloe ferox Miller
1306,Socotrine aloe,Aloe perryi Baker
75,Creeping foxtail,Alopecurus arundinaceus Po.
73,Meadow foxtail,Alopecurus pratensis L.
704,Red ash,Alphityonia excelsa (Fren.)
