Item_Code,Item
15,Wheat
27,"Rice, paddy"
44,Barley
56,Maize
71,Rye
75,Oats
79,Millet
83,Sorghum
89,Buckwheat
92,Quinoa
94,Fonio
97,Triticale
101,Canary seed
103,"Grain, mixed"
108,Cereals nes
116,Potatoes
122,Sweet potatoes
125,Cassava
135,Yautia (cocoyam)
136,Taro (cocoyam)
137,Yams
149,Roots and tubers nes
156,Sugar cane
157,Sugar beet
161,Sugar crops nes
176,"Beans, dry"
181,"Broad beans, horse beans, dry"
187,"Peas, dry"
191,Chick peas
195,"Cow peas, dry"
197,Pigeon peas
201,Lentils
203,Bambara beans
205,Vetches
210,Lupins
211,Pulses nes
216,"Brazil nuts, with shell"
217,"Cashew nuts, with shell"
220,Chestnut
221,"Almonds, with shell"
222,"Walnuts, with shell"
223,Pistachios
224,Kola nuts
225,"Hazelnuts, with shell"
226,Areca nuts
234,Nuts nes
236,Soybeans
242,"Groundnuts, with shell"
249,Coconuts
254,Oil palm fruit
256,Palm kernels
257,"Oil, palm"
260,Olives
263,Karite nuts (sheanuts)
265,Castor oil seed
267,Sunflower seed
270,Rapeseed
275,Tung nuts
277,Jojoba seed
280,Safflower seed
289,Sesame seed
292,Mustard seed
296,Poppy seed
299,Melonseed
305,Tallowtree seed
310,Kapok fruit
311,Kapokseed in shell
328,Seed cotton
329,Cottonseed
333,Linseed
336,Hempseed
339,Oilseeds nes
358,Cabbages and other brassicas
366,Artichokes
367,Asparagus
372,Lettuce and chicory
373,Spinach
378,Cassava leaves
388,Tomatoes
393,Cauliflowers and broccoli
394,"Pumpkins, squash and gourds"
397,Cucumbers and gherkins
399,Eggplants (aubergines)
401,"Chillies and peppers, green"
402,"Onions, shallots, green"
403,"Onions, dry"
406,Garlic
407,"Leeks, other alliaceous vegetables"
414,"Beans, green"
417,"Peas, green"
420,"Vegetables, leguminous nes"
423,String beans
426,Carrots and turnips
430,Okra
446,"Maize, green"
449,Mushrooms and truffles
459,Chicory roots
461,Carobs
463,"Vegetables, fresh nes"
486,Bananas
489,Plantains and others
490,Oranges
495,"Tangerines, mandarins, clementines, satsumas"
497,Lemons and limes
507,Grapefruit (inc. pomelos)
512,"Fruit, citrus nes"
515,Apples
521,Pears
523,Quinces
526,Apricots
530,"Cherries, sour"
531,Cherries
534,Peaches and nectarines
536,Plums and sloes
541,"Fruit, stone nes"
542,"Fruit, pome nes"
544,Strawberries
547,Raspberries
549,Gooseberries
550,Currants
552,Blueberries
554,Cranberries
558,Berries nes
560,Grapes
567,Watermelons
568,"Melons, other (inc.cantaloupes)"
569,Figs
571,"Mangoes, mangosteens, guavas"
572,Avocados
574,Pineapples
577,Dates
587,Persimmons
591,Cashewapple
592,Kiwi fruit
600,Papayas
603,"Fruit, tropical fresh nes"
619,"Fruit, fresh nes"
656,"Coffee, green"
661,"Cocoa, beans"
667,Tea
671,Maté
677,Hops
687,Pepper (piper spp.)
689,"Chillies and peppers, dry"
692,Vanilla
693,Cinnamon (cannella)
698,Cloves
702,"Nutmeg, mace and cardamoms"
711,"Anise, badian, fennel, coriander"
720,Ginger
723,Spices nes
748,Peppermint
754,"Pyrethrum, dried"
767,Cotton lint
773,Flax fibre and tow
777,Hemp tow waste
778,Kapok fibre
780,Jute
782,"Bastfibres, other"
788,Ramie
789,Sisal
800,Agave fibres nes
809,Manila fibre (abaca)
813,Coir
821,Fibre crops nes
826,"Tobacco, unmanufactured"
836,"Rubber, natural"
839,"Gums, natural"
