filename,SPAM_Code,Monf_Name,FAO_Name,FAO_Code,source,SPAM_Name,GROUP,Total_ha,Total_p,nonFiltered_ha,nonFiltered_p,nf_prop_ha,nf_prop_p,npres_MaxNetV2,ntrials_MaxNetV2
acof,acof,"",coffee,656,SPAM,arabica coffee,stimulant,5917829.7009457,65733,5917829.7009457,65733,1,1,12606,4
alfalfa,"",alfalfa,alfalfa,641,Monf,"",Forage,20083540.4801284,279249,17835234.4716262,208559,0.888052307772786,0.746856747920315,81821,3
apple,"",apple,Apples,515,Monf,"",Fruit,5279000.27616995,483935,4297523.79808322,325446,0.814079100825731,0.672499405911951,22076,5
bana,bana,"",banana,486,SPAM,banana,fruits,5162790.59985687,184760,5162790.59985687,184760,1,1,20059,5
barl,barl,"",barley,44,SPAM,barley,cereals,49238338.5000851,334577,49238338.5000851,334577,1,1,74776,2
bean,bean,"","beans, dry",176,SPAM,bean,pulses,27350592.6031092,437728,27350592.6031092,437728,1,1,47988,3
cass,cass,"",cassava,125,SPAM,cassava,roots&tubers or starchy roots,19027202.3940924,210551,19027202.3940924,210551,1,1,50053,3
chic,chic,"",chickpea,191,SPAM,chickpea,pulses,11515252.6963957,159285,11515252.6963957,159285,1,1,12819,4
cnut,cnut,"",coconut,249,SPAM,coconut,oilcrops,11605312.8992241,89730,11605312.8992241,89730,1,1,13316,4
coco,coco,"",cocoa,661,SPAM,cocoa,stimulant,9767624.40228736,64365,9767624.40228736,64365,1,1,12728,4
cott,cott,"",seed cotton,328,SPAM,cotton,fibres,31047735.6992616,171163,31047735.6992616,171163,1,1,30276,3
cowp,cowp,"",cowpea,195,SPAM,cowpea,pulses,8885458.99731545,80300,8885458.99731545,80300,1,1,15461,4
grou,grou,"","groundnut, with shell",242,SPAM,groundnut,oilcrops,24373558.3985486,259864,24373558.3985486,259864,1,1,39709,3
lent,lent,"",lentils,201,SPAM,lentil,pulses,3945968.3069085,142190,3945968.3069085,142190,1,1,7735,5
maiz,maiz,"",maize,56,SPAM,maize,cereals,151344326.985361,561780,151344326.985406,561780,1.0000000000003,1,100846,1
