short_name,name,path,file_name
bc12,wc2.1_5m_bio_12,WorldClim/2.1/wc5min/bioc,WorldClim/2.1/wc5min/bioc/wc2.1_5m_bio_12.tif
bc15,wc2.1_5m_bio_15,WorldClim/2.1/wc5min/bioc,WorldClim/2.1/wc5min/bioc/wc2.1_5m_bio_15.tif
bc16,wc2.1_5m_bio_16,WorldClim/2.1/wc5min/bioc,WorldClim/2.1/wc5min/bioc/wc2.1_5m_bio_16.tif
bc17,wc2.1_5m_bio_17,WorldClim/2.1/wc5min/bioc,WorldClim/2.1/wc5min/bioc/wc2.1_5m_bio_17.tif
bc18,wc2.1_5m_bio_18,WorldClim/2.1/wc5min/bioc,WorldClim/2.1/wc5min/bioc/wc2.1_5m_bio_18.tif
bc19,wc2.1_5m_bio_19,WorldClim/2.1/wc5min/bioc,WorldClim/2.1/wc5min/bioc/wc2.1_5m_bio_19.tif
bc2,wc2.1_5m_bio_2,WorldClim/2.1/wc5min/bioc,WorldClim/2.1/wc5min/bioc/wc2.1_5m_bio_2.tif
bc3,wc2.1_5m_bio_3,WorldClim/2.1/wc5min/bioc,WorldClim/2.1/wc5min/bioc/wc2.1_5m_bio_3.tif
bc5,wc2.1_5m_bio_5,WorldClim/2.1/wc5min/bioc,WorldClim/2.1/wc5min/bioc/wc2.1_5m_bio_5.tif
bc7,wc2.1_5m_bio_7,WorldClim/2.1/wc5min/bioc,WorldClim/2.1/wc5min/bioc/wc2.1_5m_bio_7.tif
bc8,wc2.1_5m_bio_8,WorldClim/2.1/wc5min/bioc,WorldClim/2.1/wc5min/bioc/wc2.1_5m_bio_8.tif
bc9,wc2.1_5m_bio_9,WorldClim/2.1/wc5min/bioc,WorldClim/2.1/wc5min/bioc/wc2.1_5m_bio_9.tif
GDD,GDD,WorldClim/2.1/wc5min/extra,WorldClim/2.1/wc5min/extra/GDD.tif
AIdq,AIdq,WorldClim/2.1/wc5min/extra,WorldClim/2.1/wc5min/extra/AIdq.tif
AIwq,AIwq,WorldClim/2.1/wc5min/extra,WorldClim/2.1/wc5min/extra/AIwq.tif
AI,AI,WorldClim/2.1/wc5min/extra,WorldClim/2.1/wc5min/extra/AI.tif
PETs,PET_seasonality,WorldClim/2.1/wc5min/extra,WorldClim/2.1/wc5min/extra/PET_seasonality.tif
pH,phh2o_0-15cm_mean_5min,SoilGrids/phh2o,SoilGrids/phh2o/phh2o_0-15cm_mean_5min.tif
Irr,gmia_v5_aei_pct,AQUASTAT,AQUASTAT/gmia_v5_aei_pct.asc
