RID,SID,NAME,SCIENTNAME,FAOSTAT,FAO_Code,FAO_Code2,FAO_Code3,crop,food,fiber,fodder,forestry,industry,plant,comms
1,1,Spinach beet,Beta vulgaris L. v flavesc.,TRUE,463,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
2,2,Carrot,Daucus carota L.,TRUE,426,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
3,3,English walnut,Juglans regia L.,TRUE,222,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
4,4,European beech,Fagus sylvatica L.,TRUE,339,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
5,5,China Jute,Abutilon theopharasti Medic,TRUE,782,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,""
7,7,White Lupine,Lupinus albus L.,TRUE,210,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
8,8,Blue lupine,Lupinus angustifolius L.,TRUE,210,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
10,10,"Chestnut, European",Castanea sativa Mill.,TRUE,220,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
12,12,"Chestnut, Chinese",Castanea mollisima L.,TRUE,220,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
13,13,"Chestnut, American",Castanea dentata Borkh.,TRUE,220,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cultivated as a hybrid with other species
14,14,"Chestnut, Japanese",Castanea crenata Si. & Zu.,TRUE,220,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
36,36,Garlic,Allium sativum L.,TRUE,406,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
39,39,Salsify,Tragopogon porrifolius L.,TRUE,463,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
41,41,Celery,Apium graveolens L. v dulce,TRUE,463,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
42,42,"Mustard, White",Sinapis alba L.,TRUE,292,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
44,44,Hairy gooseberry,Ribes hirtellum,TRUE,549,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Cultivated gooseberries are derived from this species and R. uva-crispa
45,45,Black currant,Ribes nigrum L.,TRUE,550,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
46,46,Red currant,Ribes rubrum,TRUE,550,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
47,46,Common red ribes,Ribes sativum,TRUE,550,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,group of cultivars of R. rubrum
48,48,Jackfruit,Artocarpus heterophyllus L.,TRUE,603,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
49,49,Leek,Allium ampeloprasum L.v p.,TRUE,407,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
50,50,Chives,Allium schoenoprasum L.,TRUE,407,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
52,1,Garden beet,Beta vulgaris L. v crassa,TRUE,463,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
53,1,Swiss chard,Beta vulgaris L. v cicla,TRUE,463,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
55,55,New Zealand spinach,Tetragonia tetragonioides P,TRUE,373,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
56,56,Dill,Anethum graveolens L.,TRUE,723,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
57,57,Fennel,Foeniculum vulgare Mill.,TRUE,711,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
59,59,Black walnut,Juglans nigra L.,TRUE,222,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
60,60,California b. walnut,Juglans hindsii Jeps.,TRUE,222,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
61,61,Persimmon,Diospyros virginiana L.,TRUE,587,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
110,110,Chervil,Anthriscus cerefolium L.,TRUE,463,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
111,111,Sweet marjoram,Majorana hortensis (Mönch),TRUE,463,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
113,113,Spearmint,Mentha spicata L. v. crispa,TRUE,748,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,""
115,115,Thyme,Thymus vulgaris L.,TRUE,723,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
